VILLE_VILL,STATUT_ECO,CYCLE,NOM_ECOLE,NB_ELEVES,NB_FILLES,NB_SALLES_,NB_INSTIT,NB_MAITRE_,TYPE_CONST,LATRINES_S,lon,lat,REGION_NOM,PREF_NOM,SPREF_NOM,COM_NOM
Batelu_3,Public,Complet,Ecole_Batulu_3,269.000000,136.000000,6.000000,10.000000,0.000000,Traditionnel,Oui,20.68200000000,8.40175000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Yangoubrindi,Public,Complet,Ecole_mixte_Yangoubrindi,187.000000,98.000000,3.000000,9.000000,0.000000,Composite,Oui,20.69680000000,8.36627000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Mbolo_Pata
Ngbollo_1,Public,Complet,Ecole_mixte_de_Ngbollo,232.000000,87.000000,4.000000,8.000000,1.000000,Composite,Oui,20.68070000000,8.30645000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Mbolo_Pata
Kilibidji,Public,Incomplet,Ecole_Kilibidji,0.000000,0.000000,2.000000,0.000000,0.000000,Semi_dur,Non,20.69480000000,8.26753000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Mbolo_Pata
Ngoussoua_Trofai,Public,Complet,Ecole_Ngoussoua_Trofai,70.000000,47.000000,3.000000,2.000000,1.000000,Composite,Non,20.71230000000,8.17211000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Mbolo_Pata
Idongon,Public,Complet,Ecole_mixte_Idongon,74.000000,42.000000,3.000000,2.000000,1.000000,Composite,Non,20.82730000000,7.99697000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Mbolo_Pata
Sangba_Ecofaune,Public,Complet,Ecole_Sangba_Ecofaune,62.000000,0.000000,3.000000,3.000000,0.000000,Composite,Non,20.92640000000,7.91683000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Mbolo_Pata
Mballa,Public,Complet,Ecole_mixte_Mballa,90.000000,45.000000,3.000000,3.000000,1.000000,Composite,Non,20.86060000000,7.84125000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Mbolo_Pata
Alihou,Public,Complet,Ecole_Alihou_mixte,352.000000,158.000000,4.000000,4.000000,2.000000,Dur,Oui,20.69180000000,8.46231000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Yangougali,Public,Incomplet,Ecole_Yangougali,67.000000,20.000000,2.000000,2.000000,2.000000,Traditionnel,Oui,20.62720000000,8.51806000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Zoukoutouniala_1,Public,Incomplet,Ecole_mixte_de_Zoukoutouniala,166.000000,72.000000,2.000000,2.000000,2.000000,Composite,Oui,20.61330000000,8.55469000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Soukoumba,Public,Incomplet,Ecole_Zobossinda,32.000000,10.000000,2.000000,1.000000,1.000000,Dur,Non,20.67290000000,8.73351000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Boulkinia,Public,Incomplet,Ecole_mixte_de_Boulkinia,188.000000,33.000000,1.000000,0.000000,1.000000,Dur,Oui,20.61640000000,8.98630000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
boulkinia_2,Prive,Incomplet,Ecole_mixte_de_Boulkinia_2,62.000000,19.000000,1.000000,0.000000,1.000000,Traditionnel,Non,20.58300000000,9.01511000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Magnivo,Prive,Incomplet,Ecole_Magnivo,104.000000,35.000000,1.000000,0.000000,1.000000,Dur,Non,20.51730000000,9.18335000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Ngarba,,,Ecole_mixte_de_Ngarba,0.000000,0.000000,3.000000,0.000000,0.000000,Dur,Non,20.48380000000,9.21194000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Goz_Amar,Public,Incomplet,Ecole_Goz_Amar,0.000000,0.000000,5.000000,0.000000,0.000000,Traditionnel,Oui,20.62760000000,8.42167000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Koubou,Public,Incomplet,Ecole_Koubou,92.000000,38.000000,2.000000,0.000000,2.000000,Traditionnel,Non,20.53530000000,8.47233000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Djamassinda,Public,Complet,Ecole_mixte_Djamassinda,320.000000,0.000000,3.000000,0.000000,3.000000,Dur,Non,20.48730000000,8.52941000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Bangbali,Public,Incomplet,Ecole_mixte_de_Bangbali,364.000000,136.000000,2.000000,0.000000,2.000000,Bois,Non,20.24700000000,8.68609000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Manga,Public,Incomplet,Ecole_mixte_de_Manga,143.000000,49.000000,2.000000,0.000000,1.000000,Traditionnel,Non,20.14890000000,8.72544000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Tiri,Public,Complet,Ecole_de_Tiri,373.000000,142.000000,2.000000,0.000000,2.000000,Traditionnel,Non,20.01590000000,8.74704000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Miameru,Public,Incomplet,Ecole_mixte_de_Miamuru,248.000000,85.000000,2.000000,0.000000,2.000000,Bois,Non,19.83840000000,8.86589000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Ndjoko_2,Public,Incomplet,Ecole_Ndjoko_2,110.000000,41.000000,2.000000,0.000000,2.000000,Traditionnel,Non,19.66210000000,8.95935000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Takara,Public,Incomplet,Ecole_Takara,65.000000,33.000000,3.000000,0.000000,2.000000,Traditionnel,Oui,20.73250000000,8.33346000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Mbolo_Pata
Manovo,Public,Complet,Ecole_Manovo,257.000000,96.000000,3.000000,2.000000,0.000000,Dur,Non,20.89980000000,8.46837000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Gozbeida,Public,Incomplet,Ecole_Gozbeida,120.000000,47.000000,3.000000,1.000000,2.000000,Traditionnel,Oui,20.66410000000,8.49272000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Koundji,Public,Incomplet,Ecole_mixte_de_Koundji,95.000000,47.000000,4.000000,0.000000,1.000000,Bois,Oui,20.70180000000,8.82224000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Akroussoulback,Public,Complet,Ecole_mixte_Akroussoulback,208.000000,107.000000,2.000000,0.000000,3.000000,Composite,Non,20.73150000000,8.99331000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Doum,Public,Incomplet,Ecole_mixte_Doum,123.000000,71.000000,1.000000,0.000000,1.000000,Traditionnel,Non,20.74000000000,9.01770000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Barbatoum,Public,Incomplet,Ecole_mixte_de_Barbatoum,0.000000,0.000000,2.000000,0.000000,0.000000,Traditionnel,Non,20.46360000000,8.54773000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Miamani,Prive,Incomplet,Ecole_mixte_de_Miamani,318.000000,0.000000,2.000000,0.000000,2.000000,Semi_dur,Non,19.78180000000,8.91403000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Magonda,Public,Incomplet,Ecole_mixte_de_Malinda,0.000000,0.000000,1.000000,0.000000,1.000000,Traditionnel,Non,19.57220000000,8.78459000000,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Dar_El_Kouti
Diki,Prive,Incomplet,Ecole_mixte_de_Diki,143.000000,42.000000,2.000000,0.000000,2.000000,Traditionnel,Non,20.69550000000,8.26752777800,Fertit,Bamingui_Bangoran,NdÃ©lÃ©,Mbolo_Pata
Ndeou,Public,Incomplet,Ecole_mixte_de_Nduou,80.000000,30.000000,1.000000,0.000000,1.000000,Hangar_en_paille,Non,22.05850000000,4.35256000000,Haut_Oubangui,Basse_Kotto,SatÃ©ma,Kotto_Oubangui
Nganda,Public,Complet,Ecole_mixte_de_Nganda,187.000000,87.000000,2.000000,0.000000,2.000000,Semi_dur,Non,22.07120000000,4.31244000000,Haut_Oubangui,Mbomou,Gambo,Ngandou
Samia,Public,Incomplet,Ecole_mixte_de_Samia,0.000000,0.000000,1.000000,0.000000,1.000000,Hangar_en_paille,Non,21.87740000000,4.56448000000,Haut_Oubangui,Basse_Kotto,KembÃ©,KembÃ©
Makombo,Public,Complet,Ecole_mixte_Makombo,174.000000,56.000000,3.000000,1.000000,2.000000,Dur,Oui,21.81480000000,4.60427000000,Haut_Oubangui,Basse_Kotto,KembÃ©,KembÃ©
Kongbo,Public,Complet,Ecole_F1_de_Kongbo_(Aet_B),1312.000000,519.000000,3.000000,5.000000,3.000000,Dur,Oui,21.36580000000,4.77117000000,Haut_Oubangui,Basse_Kotto,Alindao,Bakou
Bokoula,Public,Complet,Ecole_F1_de_Bokoula,295.000000,147.000000,4.000000,3.000000,3.000000,Dur,Oui,21.33890000000,4.86874000000,Haut_Oubangui,Basse_Kotto,Alindao,Bakou
Pavica,Public,Complet,Ecole_F1_de_Pavica_(A/B),1122.000000,404.000000,5.000000,5.000000,4.000000,Semi_dur,Oui,21.33120000000,4.92101000000,Haut_Oubangui,Basse_Kotto,Alindao,Guiligui
Mbia_2,Public,Complet,Ecole_communautaire_Mbika_2,260.000000,113.000000,3.000000,1.000000,2.000000,Hangar_en_paille,Oui,21.30640000000,4.97953000000,Haut_Oubangui,Basse_Kotto,Alindao,Guiligui
Elim,Public,Complet,Ecole_Mission_Elim,548.000000,188.000000,5.000000,2.000000,2.000000,Dur,Oui,21.33940000000,4.81335000000,Haut_Oubangui,Basse_Kotto,Alindao,Bakou
Deka,Public,Incomplet,Ecole_mixte_de_Duka,78.000000,32.000000,1.000000,0.000000,1.000000,Hangar_en_paille,Non,21.77580000000,4.92414000000,Haut_Oubangui,Basse_Kotto,Mingala,Siriki
Ngama_Bis_Sango,Public,Incomplet,Ecole_mixte_de_Ngama,55.000000,20.000000,1.000000,0.000000,1.000000,Hangar_en_paille,Non,21.76000000000,4.86291000000,Haut_Oubangui,Basse_Kotto,Mingala,Siriki
Ngangou,Public,Complet,Ecole_Ngangou,244.000000,125.000000,3.000000,3.000000,3.000000,Dur,Oui,21.76630000000,4.60973000000,Haut_Oubangui,Basse_Kotto,KembÃ©,KembÃ©
Alindao,Prive,Complet,Ecole_Michel_KANDEL,298.000000,122.000000,8.000000,4.000000,3.000000,Dur,Oui,21.21790000000,5.03303000000,Haut_Oubangui,Basse_Kotto,Alindao,Alindao
Ngaiforo,Public,Incomplet,Ecole_Ngaiforo,204.000000,74.000000,2.000000,0.000000,2.000000,Semi_dur,Non,20.84580000000,4.53717000000,Haut_Oubangui,Basse_Kotto,Zangba,OuambÃ©
Mobaye,Public,Complet,Ecole_Antoine_Marie_Maanicus,687.000000,0.000000,6.000000,5.000000,2.000000,Dur,Oui,21.17810000000,4.32311000000,Haut_Oubangui,Basse_Kotto,Mobaye,Mobaye
Alindao,Public,Complet,Ecole_S.P._mixte_de_Ngurupou,499.000000,196.000000,6.000000,3.000000,3.000000,Dur,Oui,21.22450000000,5.03543000000,Haut_Oubangui,Basse_Kotto,Alindao,Alindao
Mobaye,Public,Complet,Ecole_Somba,602.000000,226.000000,3.000000,3.000000,2.000000,Dur,Oui,21.19580000000,4.31375000000,Haut_Oubangui,Basse_Kotto,Mobaye,Mobaye
Bangoro,Public,Complet,Ecole_mixte_de_Bangoro,158.000000,48.000000,3.000000,1.000000,2.000000,Traditionnel,Oui,22.02160000000,4.50525000000,Haut_Oubangui,Basse_Kotto,SatÃ©ma,Kotto_Oubangui
Ndakiti,Public,Complet,Ecole_Ndakiti,108.000000,31.000000,2.000000,1.000000,1.000000,Dur,Non,21.60490000000,4.67949000000,Haut_Oubangui,Basse_Kotto,KembÃ©,KembÃ©
Tagbale,Public,Complet,Ecole_Djambo_(Tagbalu),209.000000,86.000000,3.000000,1.000000,2.000000,Semi_dur,Oui,21.31520000000,4.96816000000,Haut_Oubangui,Basse_Kotto,Alindao,Guiligui
Alindao,Public,Complet,Ecole_Madinga_A_et_B,1018.000000,345.000000,12.000000,6.000000,7.000000,Dur,Oui,21.21440000000,5.03161000000,Haut_Oubangui,Basse_Kotto,Alindao,Alindao
Kolobo,Public,Complet,Ecole_mixte_de_Kolobo,447.000000,113.000000,3.000000,1.000000,2.000000,Semi_dur,Oui,21.28750000000,4.68533000000,Haut_Oubangui,Basse_Kotto,Alindao,Bakou
Leoua,Public,Incomplet,Ecole_mixte_de_Luoua,375.000000,127.000000,3.000000,1.000000,2.000000,Semi_dur,Oui,21.28640000000,4.65562000000,Haut_Oubangui,Basse_Kotto,Mobaye,MbÃ©ima
Polonda,Public,Complet,Ecole_F1_de_Polonda,261.000000,83.000000,5.000000,2.000000,2.000000,Dur,Oui,21.27910000000,4.61221000000,Haut_Oubangui,Basse_Kotto,Mobaye,MbÃ©ima
Serunga,Public,Complet,Ecole_mixte_Surunga,218.000000,63.000000,4.000000,2.000000,2.000000,Semi_dur,Non,21.28320000000,4.55282000000,Haut_Oubangui,Basse_Kotto,Mobaye,MbÃ©ima
Dimangoua,Public,Complet,Ecole_Plateau_Dimangoua,181.000000,58.000000,3.000000,2.000000,2.000000,Semi_dur,Non,21.24550000000,4.41458000000,Haut_Oubangui,Basse_Kotto,Mobaye,MbÃ©ima
Mboche,Public,Complet,Ecole_Oyu_Mbochu,128.000000,41.000000,2.000000,2.000000,1.000000,Semi_dur,Non,21.21320000000,4.39692000000,Haut_Oubangui,Basse_Kotto,Mobaye,MbÃ©ima
Mobaye,Public,Incomplet,Ecole_SiÃŒcle_des_lumiÃŒres._Foi_Bahaie,74.000000,42.000000,2.000000,0.000000,2.000000,Semi_dur,Non,21.22130000000,4.67965000000,Haut_Oubangui,Basse_Kotto,Mobaye,MbÃ©ima
Mamadou,Public,Complet,Ecole_Mamadou,296.000000,88.000000,3.000000,3.000000,1.000000,Dur,Oui,21.15070000000,4.37513000000,Haut_Oubangui,Basse_Kotto,Mobaye,MbÃ©ima
Vougahindou,Public,Complet,Ecole_mixte_Vougahindou,372.000000,108.000000,4.000000,2.000000,2.000000,Dur,Oui,21.02580000000,4.47188000000,Haut_Oubangui,Basse_Kotto,Mobaye,MbÃ©ima
Grabadja,Public,Complet,Ecole_mixte_communautaire_de_Grabadja,339.000000,151.000000,3.000000,1.000000,2.000000,Semi_dur,Non,20.79470000000,4.53707000000,Haut_Oubangui,Basse_Kotto,Zangba,OuambÃ©
Malegbassa,Public,Incomplet,Ecole_Toukou_Malugbassa,210.000000,50.000000,2.000000,0.000000,1.000000,Traditionnel,Non,20.88670000000,4.74587000000,Haut_Oubangui,Basse_Kotto,Zangba,Yabongo
Mbelingoa,Public,Complet,Ecole_Mbulingoa,0.000000,0.000000,3.000000,1.000000,2.000000,Traditionnel,Non,20.95270000000,4.61912000000,Haut_Oubangui,Basse_Kotto,Zangba,OuambÃ©
Ngale_Ono,Public,Complet,Ecole_Ngalu_Ono,481.000000,133.000000,3.000000,1.000000,3.000000,Dur,Oui,21.13220000000,4.51699000000,Haut_Oubangui,Basse_Kotto,Mobaye,MbÃ©ima
Bondo,Public,Incomplet,Ecole_Yakpanga,207.000000,73.000000,2.000000,0.000000,2.000000,Traditionnel,Oui,21.06700000000,5.16516000000,Haut_Oubangui,Basse_Kotto,Alindao,Bangui_KettÃ©
Poudjio,Public,Complet,Ecole_Poudjio,557.000000,177.000000,5.000000,2.000000,4.000000,Dur,Oui,21.00470000000,5.39220000000,Haut_Oubangui,Basse_Kotto,Alindao,YambÃ©lÃ©_Ewou
Kode,Public,Incomplet,Ecole_Kodu,109.000000,46.000000,2.000000,0.000000,3.000000,Traditionnel,Non,21.06220000000,5.44934000000,Haut_Oubangui,Basse_Kotto,Alindao,YambÃ©lÃ©_Ewou
Kpelu,Public,Incomplet,Ecole_Kpulu,142.000000,78.000000,2.000000,0.000000,2.000000,Traditionnel,Non,21.08750000000,5.40555000000,Haut_Oubangui,Basse_Kotto,Alindao,YambÃ©lÃ©_Ewou
Mbingo,Public,Complet,Ecole_Mbingo,202.000000,91.000000,2.000000,1.000000,2.000000,Traditionnel,Non,21.91150000000,4.53261000000,Haut_Oubangui,Basse_Kotto,KembÃ©,KembÃ©
Lakoundji,Public,Complet,Ecole_mixte_de_Lakoundji,192.000000,62.000000,3.000000,0.000000,2.000000,Hangar_en_toles,Non,22.08490000000,4.50468000000,Haut_Oubangui,Basse_Kotto,SatÃ©ma,Kotto_Oubangui
Ngaligue,Public,Complet,Ecole_villageoise_St_Daniel_Comboni,315.000000,115.000000,4.000000,2.000000,3.000000,Semi_dur,Non,21.92790000000,4.41676000000,Haut_Oubangui,Basse_Kotto,SatÃ©ma,Kotto_Oubangui
Yapa_Togo,Public,Complet,Ecole_mixte_Yapa_togo,56.000000,18.000000,4.000000,0.000000,1.000000,Bois,Non,21.70920000000,4.68359000000,Haut_Oubangui,Basse_Kotto,Mingala,Siriki
Gofo,Public,Incomplet,Ecole_mixte_de_Gofo,80.000000,29.000000,2.000000,0.000000,1.000000,Traditionnel,Non,21.74790000000,4.79513000000,Haut_Oubangui,Basse_Kotto,Mingala,Siriki
Adikou,Public,Incomplet,Ecole_Adikou,81.000000,25.000000,1.000000,0.000000,1.000000,Traditionnel,Non,21.76640000000,4.90195000000,Haut_Oubangui,Basse_Kotto,Mingala,Siriki
Dieungba_Ngoulaka,Public,Incomplet,Ecole_Dieungba_Ngoulaka,186.000000,96.000000,2.000000,0.000000,1.000000,Traditionnel,Non,21.22130000000,4.67965000000,Haut_Oubangui,Basse_Kotto,Mobaye,MbÃ©ima
Sounda,Public,Incomplet,Ecole_mixte_de_Sounda,123.000000,49.000000,4.000000,0.000000,1.000000,Semi_dur,Non,21.18130000000,4.71046000000,Haut_Oubangui,Basse_Kotto,Mobaye,MbÃ©ima
Zoupende,Public,Complet,Ecole_mixte_Zoupundu,461.000000,112.000000,4.000000,3.000000,1.000000,Dur,Non,21.12280000000,4.40045000000,Haut_Oubangui,Basse_Kotto,Mobaye,MbÃ©ima
Golo,Public,Complet,Ecole_mixte_Golo,325.000000,120.000000,3.000000,2.000000,3.000000,Dur,Non,21.07120000000,4.49877000000,Haut_Oubangui,Basse_Kotto,Mobaye,MbÃ©ima
Digo_Eleveurs,Public,Incomplet,Ecole_Digo_Eluveurs,99.000000,39.000000,2.000000,0.000000,1.000000,Traditionnel,Non,20.69480000000,4.59234000000,Haut_Oubangui,Basse_Kotto,Zangba,Yabongo
Motto_1,Public,Complet,Ecole_Motto,283.000000,73.000000,3.000000,0.000000,3.000000,Traditionnel,Non,20.69570000000,4.62650000000,Haut_Oubangui,Basse_Kotto,Zangba,Yabongo
Andjikapa,Public,Complet,Ecole_mixte_Andjikapa,221.000000,50.000000,3.000000,0.000000,3.000000,Traditionnel,Non,20.74940000000,4.73814000000,Haut_Oubangui,Basse_Kotto,Zangba,Yabongo
Kanga,Public,Incomplet,Ecole_Kanga,91.000000,14.000000,2.000000,0.000000,2.000000,Traditionnel,Non,20.79230000000,4.78634000000,Haut_Oubangui,Basse_Kotto,Zangba,Yabongo
Gbama_Lomakouzou,Public,Incomplet,Ecole_Gbama_Lomakouzou,144.000000,50.000000,2.000000,0.000000,1.000000,Traditionnel,Non,20.93010000000,4.64036000000,Haut_Oubangui,Basse_Kotto,Zangba,OuambÃ©
Kandogo,Public,Complet,Ecole_Kandogo,345.000000,63.000000,3.000000,1.000000,2.000000,Dur,Non,20.93590000000,4.54332000000,Haut_Oubangui,Basse_Kotto,Zangba,OuambÃ©
Atcha,Public,Complet,Ecole_Atcha,178.000000,78.000000,3.000000,0.000000,3.000000,Dur,Non,21.06680000000,5.49243000000,Haut_Oubangui,Basse_Kotto,Alindao,YambÃ©lÃ©_Ewou
Banda_koloyangba,Public,Complet,Ecole_Banda_Koloyangba,158.000000,67.000000,2.000000,0.000000,2.000000,Semi_dur,Non,20.97930000000,4.65295000000,Haut_Oubangui,Basse_Kotto,Zangba,OuambÃ©
Bana_Oya,Public,Complet,Ecole_mixte_de_Bana_Oya,202.000000,42.000000,3.000000,1.000000,2.000000,Dur,Non,21.37390000000,5.21206000000,Haut_Oubangui,Basse_Kotto,Mingala,SÃ©liba
Ndouroukoli,Public,Incomplet,Ecole_Ndouroukoli,112.000000,26.000000,3.000000,0.000000,1.000000,Dur,Non,21.30460000000,5.18164000000,Haut_Oubangui,Basse_Kotto,Mingala,SÃ©liba
Manako_En,Public,Incomplet,Ecole_Manako_En,0.000000,0.000000,0.000000,1.000000,0.000000,Traditionnel,Non,21.40750000000,5.22913000000,Haut_Oubangui,Basse_Kotto,Mingala,SÃ©liba
Tambia,Public,Complet,Ecole_Amadou_Tambia,149.000000,46.000000,3.000000,1.000000,2.000000,Dur,Non,21.03980000000,5.26840000000,Haut_Oubangui,Basse_Kotto,Alindao,YambÃ©lÃ©_Ewou
Orokpo,Public,Incomplet,Ecole_Tuhou,95.000000,27.000000,3.000000,0.000000,3.000000,Traditionnel,Non,21.12370000000,5.41203000000,Haut_Oubangui,Basse_Kotto,Alindao,YambÃ©lÃ©_Ewou
Kongo_Toulou,Public,Incomplet,Ecole_Kongo_Toulou,77.000000,24.000000,2.000000,0.000000,2.000000,Traditionnel,Non,21.24970000000,5.13274000000,Haut_Oubangui,Basse_Kotto,Alindao,Bangui_KettÃ©
Tchangbidi,Public,Complet,Ecole_Tchangbidi,188.000000,65.000000,3.000000,0.000000,2.000000,Dur,Non,21.25100000000,5.15646000000,Haut_Oubangui,Basse_Kotto,Alindao,Bangui_KettÃ©
Odjo,Public,Incomplet,Ecole_Odjo,88.000000,25.000000,1.000000,0.000000,1.000000,Traditionnel,Non,21.34480000000,5.19630000000,Haut_Oubangui,Basse_Kotto,Mingala,SÃ©liba
Boiketu,Public,Incomplet,Ecole_Moko,177.000000,68.000000,2.000000,0.000000,3.000000,Semi_dur,Non,21.16230000000,5.41844000000,Haut_Oubangui,Basse_Kotto,Alindao,YambÃ©lÃ©_Ewou
Nzelete,Public,Complet,Ecole_mixte_de_Nzelete,249.000000,63.000000,3.000000,1.000000,2.000000,Bois,Oui,21.07710000000,5.09206000000,Haut_Oubangui,Basse_Kotto,Alindao,Bangui_KettÃ©
Kodje,Public,Complet,Ecole_mixte_Moungango,319.000000,109.000000,2.000000,2.000000,2.000000,Dur,Non,20.95930000000,4.46752000000,Haut_Oubangui,Basse_Kotto,Zangba,OuambÃ©
Mbombo,Public,Complet,Ecole_Mbombo,122.000000,20.000000,3.000000,0.000000,2.000000,Dur,Non,21.92050000000,4.29880000000,Haut_Oubangui,Basse_Kotto,SatÃ©ma,Kotto_Oubangui
Ouale,Public,Complet,Ecole_mixte_de_Grabadja,359.000000,78.000000,3.000000,1.000000,2.000000,Dur,Non,20.79520000000,4.53717000000,Haut_Oubangui,Basse_Kotto,Zangba,OuambÃ©
Alindao,Prive,Complet,Ecole_privue_Elim_Alindao,364.000000,172.000000,9.000000,2.000000,6.000000,Dur,Oui,21.20910000000,5.04292000000,Haut_Oubangui,Basse_Kotto,Alindao,Alindao
Mbangui_Yangada,Public,Complet,Ecole_Yangada,485.000000,213.000000,3.000000,1.000000,2.000000,Dur,Oui,21.93740000000,4.30295000000,Haut_Oubangui,Basse_Kotto,SatÃ©ma,Kotto_Oubangui
Gbada,Public,Complet,Ecole_mixte_de_Walogo,397.000000,102.000000,3.000000,1.000000,2.000000,Bois,Oui,20.68690000000,4.54615000000,Haut_Oubangui,Basse_Kotto,Zangba,Yabongo
